ph,Hardness,Conductivity,Trihalomethanes,Turbidity,date
,204.8904555,564.3086542,86.99097046,2.963135381,2013-01-01 00:00:00
3.716080075,129.4229205,592.8853591,56.32907628,4.500656275,2013-01-02 00:00:00
8.099124189,224.2362594,418.6062131,66.42009251,3.05593375,2013-01-03 00:00:00
8.316765884,214.3733941,363.2665162,100.3416744,4.628770537,2013-01-04 00:00:00
9.092223456,181.1015092,398.4108134,31.99799273,4.075075425,2013-01-05 00:00:00
5.584086638,188.3133238,280.4679159,54.91786184,2.559708228,2013-01-06 00:00:00
10.22386216,248.0717353,283.6516335,84.60355617,2.672988737,2013-01-07 00:00:00
8.635848719,203.3615226,474.6076449,62.79830896,4.401424715,2013-01-08 00:00:00
,118.9885791,389.3755659,53.92884577,3.595017181,2013-01-09 00:00:00
11.18028447,227.2314692,563.8854815,71.97660103,4.370561937,2013-01-10 00:00:00
7.360640106,165.5207973,425.3834195,78.74001566,3.662291783,2013-01-11 00:00:00
7.974521649,218.6933005,364.0982305,76.48591118,4.011718108,2013-01-12 00:00:00
7.119824384,156.7049933,347.7150273,79.50077834,3.445756223,2013-01-13 00:00:00
,150.1749234,379.7618348,76.50999553,4.413974183,2013-01-14 00:00:00
7.496232208,205.3449822,444.6453523,70.30021265,4.777382337,2013-01-15 00:00:00
6.347271761,186.7328807,516.7432819,75.07161729,4.376348291,2013-01-16 00:00:00
7.0517858,211.0494061,315.1412672,56.65160379,4.268428858,2013-01-17 00:00:00
9.181560007,273.8138067,477.9746419,71.45736221,4.503660796,2013-01-18 00:00:00
8.975464348,279.3571668,431.44399,63.8212371,2.43608559,2013-01-19 00:00:00
7.371050302,214.4966105,469.9145515,62.79727715,2.560299148,2013-01-20 00:00:00
,227.4350484,554.8200865,45.38281518,4.133422644,2013-01-21 00:00:00
6.660212026,168.2837469,523.6712975,77.04231805,3.749701241,2013-01-22 00:00:00
,215.9778587,436.256194,59.85547583,5.459250956,2013-01-23 00:00:00
3.902475686,196.9032467,444.4788825,90.18167588,4.528522696,2013-01-24 00:00:00
5.400301781,140.7390623,472.8740733,56.93190645,4.82478639,2013-01-25 00:00:00
6.514415093,198.7673513,413.2904501,79.84784281,5.200885077,2013-01-26 00:00:00
3.445061864,207.9262602,441.7858757,30.2845972,4.184396969,2013-01-27 00:00:00
,145.7681806,298.9906665,49.5368488,4.004871128,2013-01-28 00:00:00
,266.4210181,364.4801067,53.00838135,3.991564248,2013-01-29 00:00:00
,148.1530614,563.8047433,52.67618503,6.038184953,2013-01-30 00:00:00
7.181448581,209.6256005,342.1112863,71.53795326,5.088859989,2013-01-31 00:00:00
9.825489908,190.7566183,452.8362349,47.08197119,2.857472426,2013-02-01 00:00:00
10.43329098,117.7912296,412.9868338,65.73347839,5.057310517,2013-02-02 00:00:00
7.414148196,235.0445345,411.9833642,44.48929725,3.160624468,2013-02-03 00:00:00
,232.280452,383.981723,86.08072748,5.029166724,2013-02-04 00:00:00
5.115817064,191.952743,441.7483793,49.23823132,3.902088768,2013-02-05 00:00:00
3.641629777,183.9087223,456.8600959,73.59465676,3.464353035,2013-02-06 00:00:00
5.618064406,304.2359121,399.4715663,81.58899246,2.896546941,2013-02-07 00:00:00
,143.4537313,427.1306715,53.12409422,2.907563915,2013-02-08 00:00:00
9.267187531,198.6143947,396.8769491,30.38331457,4.324004646,2013-02-09 00:00:00
,233.8589957,349.3996325,42.67746528,3.510004045,2013-02-10 00:00:00
5.331940479,194.8740654,335.1203984,59.57271371,4.434820258,2013-02-11 00:00:00
7.145771545,238.6899285,332.0327063,66.13804475,5.182590704,2013-02-12 00:00:00
9.920691059,202.817483,333.1924699,71.83362396,4.69070723,2013-02-13 00:00:00
4.758439425,183.3494541,403.9441682,66.91240003,4.542801462,2013-02-14 00:00:00
5.702925977,216.8504739,504.6382604,77.53618352,4.137739016,2013-02-15 00:00:00
6.953864226,209.638293,391.1843151,87.39088898,3.195710328,2013-02-16 00:00:00
10.68296643,173.3754984,323.8079132,78.47278445,3.999775382,2013-02-17 00:00:00
,129.8905723,470.3291685,72.40363387,4.405586,2013-02-18 00:00:00
8.757257397,200.1914004,404.7177992,47.93087188,3.626135442,2013-02-19 00:00:00
,168.3884308,383.79502,75.72943389,3.048057223,2013-02-20 00:00:00
7.809631898,100.4576151,605.2201244,66.08417364,2.447444464,2013-02-21 00:00:00
6.652488091,145.0101719,545.9749938,71.72741406,3.742090426,2013-02-22 00:00:00
9.147197055,211.7141418,527.70891,47.63488493,3.794531591,2013-02-23 00:00:00
10.56074464,181.8933656,456.5564021,34.25204908,3.96468635,2013-02-24 00:00:00
7.484254838,260.0921726,404.6707773,66.62102655,4.781188177,2013-02-25 00:00:00
8.520806573,238.3351125,481.3188027,39.09117136,3.94060453,2013-02-26 00:00:00
4.999413811,190.2870501,405.330482,99.42738492,4.460683932,2013-02-27 00:00:00
,157.8011936,360.9959945,71.7170051,4.405385706,2013-02-28 00:00:00
,155.0557268,290.1809831,59.62205746,4.08990769,2013-03-01 00:00:00
3.906078355,233.402835,269.4490512,63.74306384,3.902879712,2013-03-02 00:00:00
6.391353624,213.0178297,369.3381209,17.91572257,3.923749169,2013-03-03 00:00:00
,229.4856937,296.3975472,,3.855602212,2013-03-04 00:00:00
8.692092013,195.1437388,398.345418,48.44072487,4.477960248,2013-03-05 00:00:00
8.085759801,127.7396738,416.2396301,78.27505004,4.068688909,2013-03-06 00:00:00
6.203977702,212.3066183,362.1080043,63.87381995,5.215689206,2013-03-07 00:00:00
5.058108869,238.5693804,669.7250862,76.52179975,5.106655774,2013-03-08 00:00:00
,103.4647587,485.9745005,67.86996368,4.620793452,2013-03-09 00:00:00
,211.200526,333.329848,49.89840564,3.439740042,2013-03-10 00:00:00
7.261550522,179.8897882,501.1827807,50.99300645,3.636364183,2013-03-11 00:00:00
7.160467231,183.08931,428.0363444,90.03537367,3.884891044,2013-03-12 00:00:00
5.704764776,116.2993299,504.378681,48.14703125,4.157533407,2013-03-13 00:00:00
6.217273135,130.9444639,556.65371,57.89707471,5.325833446,2013-03-14 00:00:00
8.67993497,242.2286673,352.9425881,69.90790245,3.873470298,2013-03-15 00:00:00
,219.3009142,425.2135748,49.35200148,4.655916599,2013-03-16 00:00:00
